abandon	abandons	abandoned	abandoned	abandoning
abase	abases	abased	abased	abasing
abash	abashes	abashed	abashed	abashing
abate	abates	abated	abated	abating
abbreviate	abbreviates	abbreviated	abbreviated	abbreviating
abdicate	abdicates	abdicated	abdicated	abdicating
abduct	abducts	abducted	abducted	abducting
abet	abets	abetted	abetted	abetting
abhor	abhors	abhorred	abhorred	abhorring
abide	abides	abided	abided	abiding
abide	abides	abode	abode	abiding
abirritate	abirritates	abirritated	abirritated	abirritating
abjure	abjures	abjured	abjured	abjuring
ablate	ablates	ablated	ablated	ablating
abnegate	abnegates	abnegated	abnegated	abnegating
abolish	abolishes	abolished	abolished	abolishing
abominate	abominates	abominated	abominated	abominating
abort	aborts	aborted	aborted	aborting
abound	abounds	abounded	abounded	abounding
about-ship	about-ships	about-shipped	about-shipped	about-shipping
about-turn	about-turns	about-turned	about-turned	about-turning
aboutface	aboutfaces	aboutfaced	aboutfaced	aboutfacing
abrade	abrades	abraded	abraded	abrading
abreact	abreacts	abreacted	abreacted	abreacting
abridge	abridges	abridged	abridged	abridging
abrogate	abrogates	abrogated	abrogated	abrogating
abscess	abscesses	abscessed	abscessed	abscessing
abscise	abscises	abscised	abscised	abscising
abscond	absconds	absconded	absconded	absconding
abseil	abseils	abseiled	abseiled	abseiling
absent	absents	absented	absented	absenting
absolve	absolves	absolved	absolved	absolving
absorb	absorbs	absorbed	absorbed	absorbing
absquatulate	absquatulates	absquatulated	absquatulated	absquatulating
abstain	abstains	abstained	abstained	abstaining
abstract	abstracts	abstracted	abstracted	abstracting
abuse	abuses	abused	abused	abusing
abut	abuts	abutted	abutted	abutting
abye	abys	abought	abought	abying
accede	accedes	acceded	acceded	acceding
accelerate	accelerates	accelerated	accelerated	accelerating
accent	accents	accented	accented	accenting
accentuate	accentuates	accentuated	accentuated	accentuating
accept	accepts	accepted	accepted	accepting
access	accesses	accessed	accessed	accessing
accession	accessions	accessioned	accessioned	accessioning
accessorise	accessorises	accessorised	accessorised	accessorising
accessorize	accessorizes	accessorized	accessorized	accessorizing
acclaim	acclaims	acclaimed	acclaimed	acclaiming
acclimate	acclimates	acclimated	acclimated	acclimating
acclimatise	acclimatises	acclimatised	acclimatised	acclimatising
acclimatize	acclimatizes	acclimatized	acclimatized	acclimatizing
accommodate	accommodates	accommodated	accommodated	accommodating
accompany	accompanies	accompanied	accompanied	accompanying
accomplish	accomplishes	accomplished	accomplished	accomplishing
accord	accords	accorded	accorded	according
accost	accosts	accosted	accosted	accosting
account	accounts	accounted	accounted	accounting
accoutre	accoutres	accoutred	accoutred	accoutring
accredit	accredits	accredited	accredited	accrediting
accrete	accretes	accreted	accreted	accreting
accrue	accrues	accrued	accrued	accruing
acculturate	acculturates	acculturated	acculturated	acculturating
accumulate	accumulates	accumulated	accumulated	accumulating
accuse	accuses	accused	accused	accusing
accustom	accustoms	accustomed	accustomed	accustoming
ace	aces	aced	aced	acing
acerbate	acerbates	acerbated	acerbated	acerbating
acetify	acetifies	acetified	acetified	acetifying
acetylate	acetylates	acetylated	acetylated	acetylating
ache	aches	ached	ached	aching
achieve	achieves	achieved	achieved	achieving
achromatize	achromatizes	achromatized	achromatized	achromatizing
acidify	acidifies	acidified	acidified	acidifying
acidulate	acidulates	acidulated	acidulated	acidulating
acierate	acierates	acierated	acierated	acierating
acknowledge	acknowledges	acknowledged	acknowledged	acknowledging
acquaint	acquaints	acquainted	acquainted	acquainting
acquiesce	acquiesces	acquiesced	acquiesced	acquiescing
acquire	acquires	acquired	acquired	acquiring
acquit	acquits	acquitted	acquitted	acquitting
act	acts	acted	acted	acting
action	actions	actioned	actioned	actioning
activate	activates	activated	activated	activating
actualise	actualises	actualised	actualised	actualising
actualize	actualizes	actualized	actualized	actualizing
actuate	actuates	actuated	actuated	actuating
acuminate	acuminates	acuminated	acuminated	acuminating
ad-lib	ad-libs	ad-libbed	ad-libbed	ad-libbing
adapt	adapts	adapted	adapted	adapting
add	adds	added	added	adding
addict	addicts	addicted	addicted	addicting
addle	addles	addled	addled	addling
address	addresses	addressed	addressed	addressing
adduce	adduces	adduced	adduced	adducing
adduct	adducts	adducted	adducted	adducting
adhere	adheres	adhered	adhered	adhering
adhibit	adhibits	adhibited	adhibited	adhibiting
adjoin	adjoins	adjoined	adjoined	adjoining
adjourn	adjourns	adjourned	adjourned	adjourning
adjudge	adjudges	adjudged	adjudged	adjudging
adjudicate	adjudicates	adjudicated	adjudicated	adjudicating
adjure	adjures	adjured	adjured	adjuring
adjust	adjusts	adjusted	adjusted	adjusting
adlib	adlibs	adlibbed	adlibbed	adlibbing
admeasure	admeasures	admeasured	admeasured	admeasuring
administer	administers	administered	administered	administering
administrate	administrates	administrated	administrated	administrating
admire	admires	admired	admired	admiring
admit	admits	admitted	admitted	admitting
admix	admixes	admixed	admixed	admixing
admonish	admonishes	admonished	admonished	admonishing
adopt	adopts	adopted	adopted	adopting
adore	adores	adored	adored	adoring
adorn	adorns	adorned	adorned	adorning
adsorb	adsorbs	adsorbed	adsorbed	adsorbing
adulate	adulates	adulated	adulated	adulating
adulterate	adulterates	adulterated	adulterated	adulterating
adumbrate	adumbrates	adumbrated	adumbrated	adumbrating
advance	advances	advanced	advanced	advancing
advantage	advantages	advantaged	advantaged	advantaging
adventure	adventures	adventured	adventured	adventuring
advert	adverts	adverted	adverted	adverting
advertise	advertises	advertised	advertised	advertising
advertize	advertizes	advertized	advertized	advertizing
advise	advises	advised	advised	advising
