abandon	abandons	abandoned	abandoned	abandoning
abase	abases	abased	abased	abasing
abate	abates	abated	abated	abating
abbreviate	abbreviates	abbreviated	abbreviated	abbreviating
abdicate	abdicates	abdicated	abdicated	abdicating
abduct	abducts	abducted	abducted	abducting
abet	abets	abetted	abetted	abetting
abhor	abhors	abhorred	abhorred	abhorring
abide	abides	abided	abided	abiding
abide	abides	abode	abode	abiding
abjure	abjures	abjured	abjured	abjuring
abolish	abolishes	abolished	abolished	abolishing
abominate	abominates	abominated	abominated	abominating
abort	aborts	aborted	aborted	aborting
abound	abounds	abounded	abounded	abounding
abrade	abrades	abraded	abraded	abrading
abridge	abridges	abridged	abridged	abridging
abrogate	abrogates	abrogated	abrogated	abrogating
abscond	absconds	absconded	absconded	absconding
abseil	abseils	abseiled	abseiled	abseiling
absent	absents	absented	absented	absenting
absolve	absolves	absolved	absolved	absolving
absorb	absorbs	absorbed	absorbed	absorbing
abstain	abstains	abstained	abstained	abstaining
abstract	abstracts	abstracted	abstracted	abstracting
abuse	abuses	abused	abused	abusing
abut	abuts	abutted	abutted	abutting
accede	accedes	acceded	acceded	acceding
accelerate	accelerates	accelerated	accelerated	accelerating
accent	accents	accented	accented	accenting
accentuate	accentuates	accentuated	accentuated	accentuating
accept	accepts	accepted	accepted	accepting
access	accesses	accessed	accessed	accessing
accessorise	accessorises	accessorised	accessorised	accessorising
accessorize	accessorizes	accessorized	accessorized	accessorizing
acclaim	acclaims	acclaimed	acclaimed	acclaiming
acclimate	acclimates	acclimated	acclimated	acclimating
acclimatise	acclimatises	acclimatised	acclimatised	acclimatising
acclimatize	acclimatizes	acclimatized	acclimatized	acclimatizing
accommodate	accommodates	accommodated	accommodated	accommodating
accompany	accompanies	accompanied	accompanied	accompanying
accomplish	accomplishes	accomplished	accomplished	accomplishing
accord	accords	accorded	accorded	according
accost	accosts	accosted	accosted	accosting
account	accounts	accounted	accounted	accounting
accoutre	accoutres	accoutred	accoutred	accoutring
accredit	accredits	accredited	accredited	accrediting
accrue	accrues	accrued	accrued	accruing
acculturate	acculturates	acculturated	acculturated	acculturating
accumulate	accumulates	accumulated	accumulated	accumulating
accuse	accuses	accused	accused	accusing
accustom	accustoms	accustomed	accustomed	accustoming
ace	aces	aced	aced	acing
ache	aches	ached	ached	aching
achieve	achieves	achieved	achieved	achieving
acidify	acidifies	acidified	acidified	acidifying
acknowledge	acknowledges	acknowledged	acknowledged	acknowledging
acquaint	acquaints	acquainted	acquainted	acquainting
acquiesce	acquiesces	acquiesced	acquiesced	acquiescing
acquire	acquires	acquired	acquired	acquiring
acquit	acquits	acquitted	acquitted	acquitting
act	acts	acted	acted	acting
action	actions	actioned	actioned	actioning
activate	activates	activated	activated	activating
actualise	actualises	actualised	actualised	actualising
actualize	actualizes	actualized	actualized	actualizing
actuate	actuates	actuated	actuated	actuating
ad-lib	ad-libs	ad-libbed	ad-libbed	ad-libbing
adapt	adapts	adapted	adapted	adapting
add	adds	added	added	adding
addle	addles	addled	addled	addling
address	addresses	addressed	addressed	addressing
adduce	adduces	adduced	adduced	adducing
adhere	adheres	adhered	adhered	adhering
adjoin	adjoins	adjoined	adjoined	adjoining
adjourn	adjourns	adjourned	adjourned	adjourning
adjudge	adjudges	adjudged	adjudged	adjudging
adjudicate	adjudicates	adjudicated	adjudicated	adjudicating
adjure	adjures	adjured	adjured	adjuring
adjust	adjusts	adjusted	adjusted	adjusting
adlib	adlibs	adlibbed	adlibbed	adlibbing
administer	administers	administered	administered	administering
admire	admires	admired	admired	admiring
admit	admits	admitted	admitted	admitting
admonish	admonishes	admonished	admonished	admonishing
adopt	adopts	adopted	adopted	adopting
adore	adores	adored	adored	adoring
adorn	adorns	adorned	adorned	adorning
adsorb	adsorbs	adsorbed	adsorbed	adsorbing
adulterate	adulterates	adulterated	adulterated	adulterating
adumbrate	adumbrates	adumbrated	adumbrated	adumbrating
advance	advances	advanced	advanced	advancing
advantage	advantages	advantaged	advantaged	advantaging
advert	adverts	adverted	adverted	adverting
advertise	advertises	advertised	advertised	advertising
advise	advises	advised	advised	advising
advocate	advocates	advocated	advocated	advocating
aerate	aerates	aerated	aerated	aerating
affect	affects	affected	affected	affecting
affiliate	affiliates	affiliated	affiliated	affiliating
affirm	affirms	affirmed	affirmed	affirming
affix	affixes	affixed	affixed	affixing
afflict	afflicts	afflicted	afflicted	afflicting
afford	affords	afforded	afforded	affording
afforest	afforests	afforested	afforested	afforesting
affront	affronts	affronted	affronted	affronting
age	ages	aged	aged	aging
agglomerate	agglomerates	agglomerated	agglomerated	agglomerating
aggravate	aggravates	aggravated	aggravated	aggravating
aggregate	aggregates	aggregated	aggregated	aggregating
agitate	agitates	agitated	agitated	agitating
agonise	agonises	agonised	agonised	agonising
agonize	agonizes	agonized	agonized	agonizing
agree	agrees	agreed	agreed	agreeing
aid	aids	aided	aided	aiding
ail	ails	ailed	ailed	ailing
aim	aims	aimed	aimed	aiming
air	airs	aired	aired	airing
air-dash	air-dashes	air-dashed	air-dashed	air-dashing
air-dry	air-dries	air-dried	air-dried	air-drying
air-kiss	air-kisses	air-kissed	air-kissed	air-kissing
airbrush	airbrushes	airbrushed	airbrushed	airbrushing
airdash	airdashes	airdashed	airdashed	airdashing
airdrop	airdrops	airdropped	airdropped	airdropping
airdry	airdries	airdried	airdried	airdrying
airfreight	airfreights	airfreighted	airfreighted	airfreighting
airkiss	airkisses	airkissed	airkissed	airkissing
